               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.027069,            0.014567,           0.0010509,             0.94489,              0.8335,             0.84832,             0.56478,            0.032952,            0.014184,           0.0025357,           0.0098693,           0.0098693,           0.0098693
                 134,            0.023569,            0.014382,           0.0010065,             0.95537,             0.82955,             0.85724,             0.61404,            0.033812,            0.014659,           0.0024611,           0.0098683,           0.0098683,           0.0098683
                 135,            0.027364,            0.013641,          0.00097494,             0.95438,             0.82955,             0.85475,             0.60334,             0.03143,            0.014887,           0.0025611,           0.0098673,           0.0098673,           0.0098673
                 136,            0.023918,            0.012859,          0.00087842,             0.92833,             0.85108,             0.85616,             0.49909,            0.032341,            0.014353,           0.0024488,           0.0098664,           0.0098664,           0.0098664
                 137,            0.030036,             0.01502,          0.00086862,             0.96595,             0.81439,             0.84075,             0.51003,            0.035707,            0.015168,            0.002379,           0.0098654,           0.0098654,           0.0098654
                 138,             0.03222,            0.014744,          0.00089311,              0.9652,             0.81439,             0.85884,             0.52189,             0.03504,            0.015067,           0.0026159,           0.0098644,           0.0098644,           0.0098644
                 139,             0.02962,            0.014692,           0.0011931,             0.92767,             0.81439,             0.85702,             0.59362,            0.032867,            0.015287,           0.0027965,           0.0098634,           0.0098634,           0.0098634
                 140,            0.025415,            0.015656,          0.00097361,             0.88094,             0.81439,             0.84002,             0.54819,            0.034913,            0.015017,           0.0030083,           0.0098624,           0.0098624,           0.0098624
                 141,            0.027542,            0.014639,          0.00086736,               0.933,             0.83795,             0.85522,             0.60673,            0.033474,            0.014913,           0.0030058,           0.0098614,           0.0098614,           0.0098614
                 142,            0.023463,            0.013115,           0.0009386,             0.95086,             0.82482,              0.8511,             0.52427,            0.033387,            0.015274,           0.0029961,           0.0098604,           0.0098604,           0.0098604
                 143,            0.028783,            0.013742,          0.00092667,              0.9477,             0.82401,             0.84894,             0.60656,            0.032452,            0.015539,           0.0029879,           0.0098594,           0.0098594,           0.0098594
                 144,            0.025389,            0.013973,           0.0010325,             0.94617,             0.81439,              0.8307,             0.54105,            0.032618,            0.015513,           0.0028886,           0.0098584,           0.0098584,           0.0098584
                 145,            0.025918,            0.013158,           0.0010906,             0.94659,              0.8252,             0.82856,             0.61811,            0.030086,            0.015664,           0.0028859,           0.0098574,           0.0098574,           0.0098574
                 146,            0.021914,            0.013071,           0.0010458,             0.94423,             0.82955,             0.83761,             0.58099,            0.030798,            0.015456,           0.0029995,           0.0098565,           0.0098565,           0.0098565
                 147,            0.027916,             0.01242,           0.0010469,             0.94864,             0.82955,             0.83395,             0.57617,            0.036409,            0.015551,           0.0031268,           0.0098555,           0.0098555,           0.0098555
                 148,            0.027766,            0.016411,           0.0011911,              0.9143,             0.79924,             0.82448,             0.55101,            0.040346,            0.015989,           0.0033564,           0.0098545,           0.0098545,           0.0098545
                 149,            0.036978,            0.015922,           0.0011886,             0.93898,              0.8145,             0.83404,             0.56398,            0.033374,            0.015454,           0.0033688,           0.0098535,           0.0098535,           0.0098535
                 150,            0.028413,            0.015777,           0.0012787,             0.75551,             0.82955,             0.83674,              0.5379,            0.033533,            0.015269,           0.0032497,           0.0098525,           0.0098525,           0.0098525
                 151,            0.032119,            0.015191,           0.0012075,             0.94559,              0.8295,             0.83006,             0.55826,            0.038161,            0.015939,           0.0030051,           0.0098515,           0.0098515,           0.0098515
                 152,            0.034819,             0.01416,           0.0011987,             0.93806,             0.78568,             0.84229,             0.49139,            0.040692,             0.01661,           0.0029833,           0.0098505,           0.0098505,           0.0098505
